Inep,Latitude,Longitude
43104940,0.0,0.0
43104959,0.0,0.0
43104967,0.0,0.0
43104975,0.0,0.0
43104983,0.0,0.0
43104991,0.0,0.0
43105017,0.0,0.0
43105025,0.0,0.0
43105033,0.0,0.0
43105041,0.0,0.0
43105050,0.0,0.0
43105068,0.0,0.0
43105076,0.0,0.0
43105084,0.0,0.0
43105092,0.0,0.0
43105106,0.0,0.0
43105114,0.0,0.0
43105130,0.0,0.0
43105149,0.0,0.0
43105157,0.0,0.0
43105165,0.0,0.0
43105173,0.0,0.0
43105181,0.0,0.0
43105190,0.0,0.0
43105203,0.0,0.0
43105211,0.0,0.0
43105220,0.0,0.0
43105238,0.0,0.0
43105262,0.0,0.0
43105270,0.0,0.0
43105289,0.0,0.0
43105300,0.0,0.0
43105319,0.0,0.0
43105327,0.0,0.0
43105335,0.0,0.0
43105343,0.0,0.0
43105351,0.0,0.0
43105360,0.0,0.0
43105386,0.0,0.0
43105394,0.0,0.0
43105408,0.0,0.0
43105416,0.0,0.0
43105432,0.0,0.0
43105564,0.0,0.0
43105572,0.0,0.0
43105580,0.0,0.0
43105602,0.0,0.0
43105610,0.0,0.0
43105629,0.0,0.0
43105637,0.0,0.0
43105670,0.0,0.0
43105688,0.0,0.0
43105696,0.0,0.0
43105718,0.0,0.0
43105734,0.0,0.0
43105742,0.0,0.0
43105750,0.0,0.0
43105769,0.0,0.0
43105777,0.0,0.0
43105785,0.0,0.0
43105793,0.0,0.0
43105807,0.0,0.0
43105815,0.0,0.0
43105823,0.0,0.0
43105831,0.0,0.0
43105840,0.0,0.0
43105858,0.0,0.0
43105866,0.0,0.0
43105874,0.0,0.0
43105882,0.0,0.0
43105890,0.0,0.0
43105904,0.0,0.0
43105912,0.0,0.0
43105920,0.0,0.0
43105939,0.0,0.0
43105947,0.0,0.0
43105963,0.0,0.0
43105971,0.0,0.0
43105980,0.0,0.0
43105998,0.0,0.0
43106005,0.0,0.0
43106013,0.0,0.0
43106021,0.0,0.0
43106030,0.0,0.0
43106048,0.0,0.0
43106056,0.0,0.0
43106064,0.0,0.0
43106072,0.0,0.0
43106080,0.0,0.0
43106099,0.0,0.0
43106102,0.0,0.0
43106110,0.0,0.0
43106129,0.0,0.0
43106137,0.0,0.0
43106145,0.0,0.0
43106153,0.0,0.0
43106161,0.0,0.0
43106170,0.0,0.0
43106188,0.0,0.0
43106196,0.0,0.0
43106200,0.0,0.0
43106218,0.0,0.0
43106226,0.0,0.0
43106234,0.0,0.0
43106242,0.0,0.0
43106250,0.0,0.0
43106277,0.0,0.0
43106285,0.0,0.0
43106293,0.0,0.0
43106307,0.0,0.0
43106315,0.0,0.0
43106323,0.0,0.0
43106331,0.0,0.0
43106340,0.0,0.0
43106358,0.0,0.0
43106366,0.0,0.0
43106374,0.0,0.0
43106382,0.0,0.0
43106390,0.0,0.0
43106404,0.0,0.0
43106412,0.0,0.0
43106420,0.0,0.0
43106439,0.0,0.0
43106447,0.0,0.0
43106455,0.0,0.0
43106463,0.0,0.0
43106480,0.0,0.0
43106498,0.0,0.0
43106501,0.0,0.0
43106528,0.0,0.0
43106536,0.0,0.0
43106544,0.0,0.0
43106552,0.0,0.0
43106560,0.0,0.0
43106587,0.0,0.0
43106595,0.0,0.0
43106609,0.0,0.0
43106617,0.0,0.0
43106625,0.0,0.0
43106633,0.0,0.0
43106641,0.0,0.0
43106650,0.0,0.0
43106668,0.0,0.0
43106676,0.0,0.0
43106684,0.0,0.0
43106692,0.0,0.0
43106706,0.0,0.0
43106714,0.0,0.0
43106722,0.0,0.0
43106730,0.0,0.0
43106749,0.0,0.0
43106757,0.0,0.0
43106765,0.0,0.0
43106773,0.0,0.0
43106781,0.0,0.0
43106790,0.0,0.0
43106803,0.0,0.0
43106811,0.0,0.0
43106820,0.0,0.0
43106838,0.0,0.0
43106846,0.0,0.0
43106854,0.0,0.0
43106862,0.0,0.0
43106870,0.0,0.0
43106889,0.0,0.0
43106897,0.0,0.0
43106900,0.0,0.0
43106919,0.0,0.0
43106927,0.0,0.0
43106935,0.0,0.0
43106943,0.0,0.0
43106951,0.0,0.0
43106960,0.0,0.0
43106978,0.0,0.0
43106986,0.0,0.0
43106994,0.0,0.0
43107001,0.0,0.0
43107010,0.0,0.0
43107028,0.0,0.0
43107036,0.0,0.0
43107044,0.0,0.0
43107052,0.0,0.0
43107060,0.0,0.0
43107079,0.0,0.0
43107087,0.0,0.0
43107095,0.0,0.0
43107109,0.0,0.0
43107117,0.0,0.0
43107125,0.0,0.0
43107133,0.0,0.0
43107141,0.0,0.0
43107150,0.0,0.0
43107168,0.0,0.0
43107176,0.0,0.0
43107184,0.0,0.0
43107192,0.0,0.0
43107206,0.0,0.0
43107214,0.0,0.0
43107222,0.0,0.0
43107230,0.0,0.0
43107257,0.0,0.0
43107265,0.0,0.0
43107273,0.0,0.0
43107281,0.0,0.0
43107290,0.0,0.0
43107303,0.0,0.0
43107311,0.0,0.0
43107320,0.0,0.0
43107338,0.0,0.0
43107346,0.0,0.0
43107354,0.0,0.0
43107362,0.0,0.0
43107370,0.0,0.0
43107389,0.0,0.0
43107397,0.0,0.0
43107400,0.0,0.0
43107419,0.0,0.0
43107427,0.0,0.0
43107435,0.0,0.0
43107443,0.0,0.0
43107451,0.0,0.0
43107460,0.0,0.0
43107478,0.0,0.0
43107486,0.0,0.0
43107494,0.0,0.0
43107524,0.0,0.0
43107559,0.0,0.0
43107567,0.0,0.0
43107575,0.0,0.0
43107583,0.0,0.0
43107591,0.0,0.0
43107605,0.0,0.0
43107613,0.0,0.0
43107621,0.0,0.0
43107648,0.0,0.0
43107656,0.0,0.0
43107753,0.0,0.0
43107761,0.0,0.0
43107800,0.0,0.0
43107818,0.0,0.0
43107826,0.0,0.0
43107850,0.0,0.0
43107877,0.0,0.0
43107885,0.0,0.0
43107923,0.0,0.0
43107931,0.0,0.0
43107940,0.0,0.0
43107966,0.0,0.0
43107974,0.0,0.0
43107982,0.0,0.0
43107990,0.0,0.0
43108008,0.0,0.0
43108016,0.0,0.0
43108024,0.0,0.0
43108032,0.0,0.0
43108040,0.0,0.0
43108059,0.0,0.0
43108067,0.0,0.0
43108083,0.0,0.0
43108091,0.0,0.0
43108105,0.0,0.0
43108113,0.0,0.0
43108130,0.0,0.0
43108148,0.0,0.0
43108156,0.0,0.0
43108164,0.0,0.0
43108172,0.0,0.0
43108180,0.0,0.0
43108202,0.0,0.0
43108210,0.0,0.0
43108229,0.0,0.0
43108237,0.0,0.0
43108245,0.0,0.0
43108253,0.0,0.0
43108296,0.0,0.0
43108300,0.0,0.0
43108318,0.0,0.0
43108326,0.0,0.0
43108334,0.0,0.0
43108342,0.0,0.0
43108350,0.0,0.0
43108377,0.0,0.0
43108385,0.0,0.0
43108393,0.0,0.0
43108415,0.0,0.0
43108423,0.0,0.0
43108466,0.0,0.0
43108474,0.0,0.0
43108482,0.0,0.0
43108490,0.0,0.0
43108539,0.0,0.0
43108547,0.0,0.0
43108580,0.0,0.0
43108610,0.0,0.0
43108628,0.0,0.0
43108687,0.0,0.0
43108709,0.0,0.0
43108717,0.0,0.0
43108725,0.0,0.0
43108733,0.0,0.0
43108741,0.0,0.0
43108750,0.0,0.0
43108768,0.0,0.0
43108776,0.0,0.0
43108784,0.0,0.0
43108792,0.0,0.0
43108806,0.0,0.0
43108822,0.0,0.0
43108830,0.0,0.0
43108849,0.0,0.0
